Participant Information
Name,
Age,
Sex,
Dominant Hand,
Date,2025-02-12_14h07.54.377

Force,Timestamp
-0.8593521118164062,2025-02-12 14:07:54.541632
-0.7266159057617188,2025-02-12 14:07:54.641288
-0.7118606567382812,2025-02-12 14:07:54.743016
-0.6086273193359375,2025-02-12 14:07:54.841094
-0.5053863525390625,2025-02-12 14:07:54.941132
-0.4611358642578125,2025-02-12 14:07:55.041546
0.37952423095703125,2025-02-12 14:07:55.143825
0.48276519775390625,2025-02-12 14:07:55.241748
0.1730499267578125,2025-02-12 14:07:55.341173
0.09930419921875,2025-02-12 14:07:55.442014
-0.003936767578125,2025-02-12 14:07:55.547799
0.0255584716796875,2025-02-12 14:07:55.642227
-0.04817962646484375,2025-02-12 14:07:55.741093
-0.107177734375,2025-02-12 14:07:55.841566
-0.09243011474609375,2025-02-12 14:07:55.946381
-0.12192535400390625,2025-02-12 14:07:56.044325
-0.166168212890625,2025-02-12 14:07:56.142765
-0.166168212890625,2025-02-12 14:07:56.241103
-0.1956634521484375,2025-02-12 14:07:56.341363
-0.15142059326171875,2025-02-12 14:07:56.441351
-0.35790252685546875,2025-02-12 14:07:56.541282
-0.38739776611328125,2025-02-12 14:07:56.644724
-0.15142059326171875,2025-02-12 14:07:56.741076
-0.107177734375,2025-02-12 14:07:56.841235
-0.166168212890625,2025-02-12 14:07:56.941072
-0.18091583251953125,2025-02-12 14:07:57.042570
